Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Genre
45OX2jjEw1l7lOFJfDP9fv,MONEY,LISA,LALISA,168227,68,k-pop
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Ava Max,Heaven & Hell,162398,78,Pop Rock
0TK2YIli7K1leLovkQiNik,Señorita,"Shawn Mendes, Camila Cabello",Señorita,190960,76,pop
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),214846,78,edm
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,Fine Line,174000,82,Pop
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),158040,80,Alternative Rock / Indie Rock
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,"thank u, next",178626,82,pop
1KMkcUvF7m3SDChDOa7i5L,WITHOUT YOU,The Kid LAROI,F*CK LOVE 3+: OVER YOU,161384,72,
2kQuhkFX7uSVepCD3h29g5,Smack That,"Akon, Eminem",Konvicted,212360,83,Classic Rock / Soft Rock
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,196652,81,melodic rap
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),216880,86,"nu metal, rap metal, rock, alternative metal"
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),199440,84,pop
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,beerbongs & bentleys,231266,78,Alternative Rock / Indie Rock
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),176840,75,EDM / Electronic
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,217306,80,pop
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Starboy,230453,88,Hip-Hop / Rap
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,209438,73,Pop Rock
41Fflg7qHiVOD6dEPvsCzO,Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",Reflection (Deluxe),224573,74,pop
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),263400,87,soft pop
022gtO2qA9EwjWrXu7OiVt,Royalty,"Egzod, Maestro Chives, Neoni",Royalty,223520,1,EDM / Electronic
4NZrZgrRoR4GwR7flWOXRI,Go Fuck Yourself,Two Feet,First Steps,129599,71,Trap / Hip-Hop + Electronic Fusion
1Lim1Py7xBgbAkAys3AGAG,Lean On,"Major Lazer, DJ Snake, MØ",Peace Is The Mission (Extended),176561,4,moombahton
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,A/B,213706,80,Alternative Rock / Indie Rock
3oELxRDbAzyvOodhd5FQzB,Past Lives,"sapientdream, Slushii",Past Lives,153103,73,Lo-Fi / Chill
5PUXKVVVQ74C3gl5vKy9Li,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),194857,75,"hindi pop, bollywood, gujarati pop, desi, hindi indie"
4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")","Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar","Chaleya (From ""Jawan"")",200373,69,"kollywood, tamil pop, tamil dance, tollywood, tamil hip hop, telugu pop"
4tF4f9GwL52a4VruWF5Brp,Superhero,"Unknown Brain, Chris Linton",Superhero,179224,60,Trap / Hip-Hop + Electronic Fusion
11uvudmvZBzG2ztQsOB5sF,Mortals,Warriyo,Mortals,228340,68,EDM / Electronic
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION,17,95466,79,emo rap
7m4CgL81VVIHaaiSxyH922,Desi Kalakaar,Yo Yo Honey Singh,Desi Kalakaar,253352,73,"bollywood, hindi hip hop, desi, hindi pop, punjabi pop, bhangra, punjabi hip hop, desi pop"
4fyR24BKznXBLNkK8LwWla,Dheere Dheere,Yo Yo Honey Singh,Dheere Dheere,212412,69,"bollywood, hindi hip hop, desi, hindi pop, punjabi pop, bhangra, punjabi hip hop, desi pop"
3pVXZ04pu8zYaiAHCrh6PV,Dope Shope,"Yo Yo Honey Singh, Deep Money",International Villager,193608,67,"bollywood, hindi hip hop, desi, hindi pop, punjabi pop, bhangra, punjabi hip hop, desi pop"
6zojSFiUNySBy3Kd1JVCXb,Dil Chori,"Yo Yo Honey Singh, Simar Kaur, Ishers",Sonu Ke Titu Ki Sweety,226696,61,"bollywood, hindi hip hop, desi, hindi pop, punjabi pop, bhangra, punjabi hip hop, desi pop"
1QZRCi2Z1DQQaR6bGAzhtN,Love Dose,Yo Yo Honey Singh,Desi Kalakaar,224444,72,"bollywood, hindi hip hop, desi, hindi pop, punjabi pop, bhangra, punjabi hip hop, desi pop"
6fW78cd0p3ZDUzoqvx2Xqe,Muskurane - Romantic,"Jeet Gannguli, Arijit Singh, Rashmi Virag",Citylights (Original Motion Picture Soundtrack),334331,65,"bangla pop, hindi pop, bollywood"
1CM4rFDU9q4EoLy2K44qE6,"Naah Goriye (From ""Bala"")","B Praak, Harrdy Sandhu, Swasti Mehul, Jaani","Naah Goriye (From ""Bala"")",184617,61,"hindi pop, desi pop, bollywood, punjabi pop"
6FjbAnaPRPwiP3sciEYctO,Raabta,"Pritam, Arijit Singh",Agent Vinod,243578,72,"bollywood, hindi pop, desi, sufi"
0mJTAdmY8olbGQjopDYff3,Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste,196043,63,"hindi pop, bollywood, desi pop, desi"
7jDKrOCSA26DfGy3ZAVVoI,Main Hoon Hero Tera (Armaan Malik Version),Armaan Malik,Hero,284201,47,"hindi pop, bollywood, kannada pop, tollywood, telugu pop"
7cD4l0Y9KnEGiNUw6OoGYA,Pumped Up Kicks - Sped Up,"fast demon, Mr Demon","This is fast demon, Vol. 1 (Sped Up)",119562,38,nightcore
7L3544OMMNCnRZyBJ4gjq8,"Giorno's Theme (From ""JoJo's Bizarre Adventure"")",VGR,"Giorno's Theme (From ""JoJo's Bizarre Adventure"")",175312,38,
4qDHt2ClApBBzDAvhNGWFd,Crab Rave,Noisestorm,Crab Rave,161280,62,"dubstep, drumstep"
6Nb0qYaWl4EAxHbGcKlLjR,Megalovania,"RichaadEB, ThunderScott",Megalovania,193000,0,Anime / OST / Instrumental
11KHnqxnmOx8W5PyplVGrO,Techno Syndrome 2021 (Mortal Kombat),Benjamin Wallfisch,Mortal Kombat (Original Motion Picture Soundtrack),186760,43,soundtrack
0gFWBzm1hqmq5fmAGcYd8r,Krusty Krab - Trap Remix,Trap Remix Guys,Krusty Krab (Trap Remix),71262,39,Anime / OST / Instrumental
72CkpVdvmc8t28o8I9N32J,Tere Sang Yaara,"Atif Aslam, Manoj Muntashir",Rustom (Original Motion Picture Soundtrack),286380,73,"bollywood, hindi pop, desi, sufi, qawwali"
6HGoVbCUr63SgU3TjxEVj6,Satisfya,Imran Khan,Satisfya,180056,63,"bhangra, desi, punjabi pop, punjabi hip hop, desi hip hop, bollywood, desi pop"
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),"The Script, will.i.am",#3 Deluxe Version,202533,79,Classic Rock / Soft Rock
7lvDsmTRXFE3dK4OjvRiWB,Pasoori,"Shae Gill, Ali Sethi",Pasoori,224146,68,"desi, hindi pop, desi pop, indian indie"
1418IuVKQPTYqt7QNJ9RXN,Maan Meri Jaan,King,Champagne Talk,194653,72,"desi hip hop, hindi hip hop, desi pop, hindi pop, hindi indie, desi"
73y649QhnXdcm6fRdvfraO,Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),364786,63,"marathi pop, devotional, bollywood, bhajan, hindi pop, desi"
0EcQcdcbQeVJn9fknj44Be,I Like Me Better,Lauv,I met you when I was 18. (the playlist),197436,34,Pop
4kaLkst9lT3sQ5Crgxs3ic,Pani Da Rang - Male Vocals,"Ayushmann Khurrana, Rochak Kohli",Vicky Donor (Original Motion Picture Soundtrack),240786,70,"bollywood, hindi pop"
2ESscisnKdryn50fPeHd7O,"Suno- Na Sangemarmar (From ""Youngistaan)",Arijit Singh,Love Dose Arijit Singh,201675,62,"hindi pop, bollywood, desi, bangla pop"
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",Cold Heart (PNAU Remix),202735,80,Pop
